transaction_id,amount,location,timestamp,payment_method,device,is_fraud
T0001,1878.96,Germany,2025-08-02 06:29:32.576926,Credit Card,Tablet,0
T0002,4754.06,UK,2025-08-06 13:01:32.576957,Debit Card,Mobile,0
T0003,3662.65,India,2025-07-30 19:36:32.576963,UPI,Desktop,0
T0004,2997.31,Germany,2025-08-21 05:11:32.576972,Net Banking,Desktop,0
T0005,788.53,Germany,2025-08-14 11:35:32.576975,Wallet,Desktop,0
T0006,788.41,UK,2025-08-02 10:39:32.576979,Wallet,Desktop,0
T0007,299.84,India,2025-08-19 16:35:32.576982,Net Banking,Tablet,0
T0008,4332.22,UK,2025-07-28 16:28:32.576987,Debit Card,Mobile,0
T0009,3009.56,India,2025-08-04 04:24:32.576992,Wallet,Mobile,0
T0010,3543.28,Australia,2025-07-30 01:59:32.576995,UPI,Tablet,0
T0011,112.72,USA,2025-08-10 20:06:32.576998,Debit Card,Mobile,0
T0012,4849.85,USA,2025-08-08 15:00:32.577001,UPI,Desktop,0
T0013,4163.89,USA,2025-08-02 06:03:32.577005,Credit Card,Mobile,0
T0014,1069.57,UK,2025-07-26 17:16:32.577008,Debit Card,Desktop,0
T0015,917.31,Australia,2025-08-22 15:23:32.577011,Wallet,Tablet,0
T0016,925.19,India,2025-08-17 19:39:32.577014,Debit Card,Mobile,0
T0017,1528.17,Germany,2025-08-22 02:44:32.577017,Debit Card,Tablet,0
T0018,2628.53,India,2025-07-27 00:39:32.577020,Debit Card,Mobile,0
T0019,2165.41,Germany,2025-08-09 02:46:32.577023,Debit Card,Desktop,0
T0020,1463.23,India,2025-08-19 16:56:32.577026,UPI,Tablet,0
T0021,3063.15,Australia,2025-07-23 16:27:32.577029,Credit Card,Mobile,0
T0022,706.07,Germany,2025-08-16 17:02:32.577032,Net Banking,Desktop,0
T0023,1467.8,UK,2025-08-10 17:59:32.577035,Debit Card,Tablet,0
T0024,1838.15,India,2025-08-10 15:08:32.577038,Wallet,Tablet,0
T0025,2285.79,India,2025-08-22 14:17:32.577041,Debit Card,Mobile,0
T0026,3928.03,Germany,2025-07-24 15:13:32.577044,Wallet,Mobile,0
T0027,1006.37,UK,2025-08-16 14:40:32.577047,UPI,Mobile,0
T0028,2576.03,UK,2025-08-19 17:01:32.577050,Wallet,Desktop,0
T0029,2966.15,Australia,2025-08-14 03:17:32.577054,Net Banking,Mobile,0
T0030,241.79,UK,2025-08-18 12:57:32.577058,Credit Card,Tablet,1
T0031,3041.65,UK,2025-08-14 17:17:32.577063,Wallet,Tablet,0
T0032,860.92,UK,2025-08-08 08:32:32.577068,Wallet,Mobile,0
T0033,334.61,USA,2025-07-24 20:22:32.577072,Credit Card,Mobile,0
T0034,4744.94,Australia,2025-07-25 10:20:32.577078,Net Banking,Tablet,0
T0035,4828.5,India,2025-07-26 19:30:32.577082,Debit Card,Desktop,0
T0036,4043.9,Germany,2025-08-07 16:34:32.577087,Wallet,Mobile,0
T0037,1530.02,India,2025-07-26 22:41:32.577092,Credit Card,Mobile,0
T0038,497.38,Australia,2025-07-28 23:40:32.577097,UPI,Tablet,0
T0039,3424.32,Germany,2025-08-21 09:33:32.577101,Credit Card,Mobile,0
T0040,2206.36,Australia,2025-08-16 16:19:32.577104,UPI,Desktop,0
T0041,618.97,UK,2025-08-13 06:48:32.577107,Net Banking,Tablet,0
T0042,2480.93,Germany,2025-08-11 22:57:32.577110,Debit Card,Mobile,0
T0043,181.6,UK,2025-08-16 18:17:32.577115,Credit Card,Tablet,0
T0044,4547.51,India,2025-08-08 22:29:32.577118,Wallet,Mobile,1
T0045,1301.31,India,2025-08-16 19:19:32.577122,Net Banking,Mobile,0
T0046,3315.99,Germany,2025-07-29 00:50:32.577125,Credit Card,Mobile,0
T0047,1565.44,Germany,2025-08-08 14:13:32.577130,Wallet,Desktop,1
T0048,2605.14,Australia,2025-07-28 04:57:32.577135,Credit Card,Desktop,0
T0049,2738.08,Australia,2025-08-15 01:03:32.577139,UPI,Tablet,0
T0050,932.42,UK,2025-07-23 00:08:32.577144,Credit Card,Mobile,0
T0051,4848.23,Germany,2025-08-09 16:57:32.577151,Credit Card,Mobile,0
T0052,3877.91,India,2025-08-06 11:16:32.577156,Credit Card,Desktop,0
T0053,4698.1,Australia,2025-07-27 01:02:32.577162,Net Banking,Mobile,1
T0054,4475.19,Australia,2025-08-14 16:14:32.577167,Credit Card,Desktop,0
T0055,2993.52,India,2025-08-04 19:02:32.577170,Wallet,Mobile,0
T0056,4610.15,Australia,2025-07-27 18:51:32.577173,UPI,Tablet,0
T0057,451.58,UK,2025-07-27 14:18:32.577177,UPI,Mobile,0
T0058,987.95,Germany,2025-08-09 19:47:32.577180,Credit Card,Mobile,0
T0059,235.68,India,2025-08-08 11:35:32.577183,Net Banking,Desktop,0
T0060,1633.4,Germany,2025-07-30 12:12:32.577187,Net Banking,Mobile,0
T0061,1949.5,Australia,2025-08-12 08:02:32.577192,Wallet,Mobile,0
T0062,1364.03,Australia,2025-08-10 06:46:32.577196,Credit Card,Desktop,0
T0063,4145.4,India,2025-08-12 14:01:32.577201,UPI,Tablet,0
T0064,1790.2,UK,2025-08-21 02:12:32.577206,Net Banking,Tablet,0
T0065,1411.86,USA,2025-07-23 00:18:32.577211,Credit Card,Desktop,0
T0066,2718.05,India,2025-07-31 16:29:32.577215,Net Banking,Desktop,0
T0067,713.21,USA,2025-08-03 16:00:32.577218,Net Banking,Desktop,0
T0068,4012.96,USA,2025-08-15 01:11:32.577220,UPI,Desktop,0
T0069,382.01,UK,2025-07-30 21:30:32.577223,Debit Card,Desktop,0
T0070,4934.57,USA,2025-07-29 04:31:32.577226,Wallet,Tablet,0
T0071,3863.5,USA,2025-08-01 17:53:32.577229,Wallet,Tablet,0
T0072,1001.59,UK,2025-07-29 10:25:32.577233,UPI,Desktop,0
T0073,37.56,USA,2025-08-04 21:59:32.577236,Net Banking,Mobile,0
T0074,4079.15,USA,2025-08-11 05:21:32.577239,Credit Card,Desktop,1
T0075,3537.22,USA,2025-08-19 02:26:32.577242,Net Banking,Mobile,0
T0076,3647.75,India,2025-08-03 20:57:32.577245,UPI,Desktop,0
T0077,3858.64,India,2025-08-09 15:14:32.577248,Wallet,Desktop,0
T0078,379.48,India,2025-08-19 08:48:32.577251,Net Banking,Tablet,0
T0079,1798.74,UK,2025-08-18 21:04:32.577254,Wallet,Mobile,0
T0080,588.19,Australia,2025-08-18 05:42:32.577258,Credit Card,Mobile,0
T0081,4316.89,USA,2025-07-23 13:17:32.577260,Wallet,Tablet,0
T0082,3120.26,USA,2025-07-24 18:32:32.577264,Wallet,Tablet,0
T0083,1661.18,UK,2025-07-27 03:32:32.577267,Debit Card,Tablet,0
T0084,327.16,USA,2025-08-12 05:32:32.577271,Debit Card,Tablet,1
T0085,1561.8,India,2025-08-03 01:54:32.577273,Debit Card,Mobile,0
T0086,1632.66,Australia,2025-08-16 16:40:32.577276,Wallet,Mobile,1
T0087,3650.73,Germany,2025-08-20 02:32:32.577279,UPI,Desktop,0
T0088,3191.41,USA,2025-08-07 20:27:32.577282,Wallet,Desktop,0
T0089,4437.19,India,2025-08-13 05:54:32.577285,UPI,Tablet,1
T0090,2366.35,Germany,2025-07-30 07:33:32.577288,UPI,Tablet,0
T0091,606.78,Australia,2025-08-19 20:47:32.577291,Debit Card,Tablet,0
T0092,3569.09,Germany,2025-08-15 18:00:32.577294,Net Banking,Desktop,0
T0093,3806.32,India,2025-07-26 15:39:32.577297,Credit Card,Desktop,0
T0094,2810.77,Germany,2025-08-12 05:07:32.577300,Debit Card,Desktop,0
T0095,3857.13,UK,2025-08-05 09:54:32.577303,Debit Card,Desktop,0
T0096,2474.04,Germany,2025-08-14 16:37:32.577306,Net Banking,Desktop,0
T0097,2618.44,USA,2025-08-19 18:49:32.577309,Credit Card,Desktop,0
T0098,2143.43,USA,2025-08-19 09:01:32.577312,Wallet,Desktop,0
T0099,136.84,UK,2025-08-04 12:27:32.577315,Wallet,Tablet,0
T0100,548.38,India,2025-08-15 12:30:32.577318,Debit Card,Tablet,0
